500,2682,543,2713	11
754,2682,784,2725	7
883,2688,933,2719	14
1044,2688,1124,2719	3-15
1217,2688,1304,2725	1.5-9
1396,2694,1458,2725	0-0
12,2713,67,2750	93
73,2712,221,2755	Stephon
225,2716,396,2760	McQueen
494,2725,543,2756	11
1038,2731,1100,2762	0-0
1211,2731,1279,2768	0-0
1396,2737,1458,2768	0-0
1916,2744,1953,2781	0-
12,2805,72,2843	94
77,2806,169,2843	Donti
174,2805,278,2843	Coats
883,2818,914,2855	8
1211,2824,1273,2855	0-0
1390,2824,1458,2861	0-0
6,2849,70,2886	17
75,2849,176,2886	David
181,2849,278,2886	Scott
754,2812,784,2849	5
1038,2818,1100,2849	1-1
1909,2830,1977,2873	0-0
1038,2867,1100,2898	1-1
1211,2867,1273,2898	0-0
1390,2867,1458,2904	0-0
12,2892,72,2929	16
77,2892,201,2929	Nathan
206,2892,321,2929	Sutton
500,2855,537,2892	11
618,2855,649,2892	6
1038,2910,1100,2941	0-0
1211,2910,1273,2941	0-0
1396,2910,1458,2947	0-0
1916,2879,1977,2910	0-0
6,2935,70,2972	34
75,2935,200,2972	Derrick
204,2935,352,2972	Johnson
494,2898,537,2935	11
1038,2954,1100,2985	0-0
1211,2954,1273,2991	0-0
1916,2923,1977,2954	0-0
1390,2960,1477,2991	1-20
6,2978,67,3015	36
500,2941,537,2978	11
60,2977,214,3019	Kitwana
217,2982,328,3022	Jones
494,2991,543,3022	10
1038,2997,1100,3028	0-0
1211,2997,1273,3034	0-0
1909,2966,1977,2997	0-0
1390,3003,1458,3034	0-0
1916,3009,1977,3046	0-0
6,3065,65,3108	54
71,3065,222,3108	Merceda
227,3065,321,3108	Perry
488,3071,519,3121	2
747,3077,778,3121	4
1038,3083,1094,3121	0-0
1205,3090,1273,3121	0-0
1390,3090,1452,3121	0-0
6,3108,49,3145	2
73,3107,175,3148	David
179,3111,334,3154	Mclntosh
1909,3096,1971,3133	0-0
2336,3102,2367,3139	0
747,3121,778,3164	3
1032,3127,1094,3164	0-0
1211,3133,1267,3164	0-0
1390,3133,1452,3170	0-0
1909,3139,1971,3176	0-0
6,3158,65,3201	92
71,3158,168,3201	Isaac
173,3158,315,3201	Mooring
494,3164,531,3195	11
1032,3170,1094,3207	0-0
1205,3176,1267,3207	0-0
1211,3219,1304,3250	1.0-5
1384,3176,1452,3219	0-0
6,3201,66,3238	85
70,3201,218,3238	Malcolm
223,3201,352,3238	Stewart
1032,3213,1094,3250	1-5
1390,3219,1452,3256	0-0
1909,3188,1971,3219	0-0
6,3238,55,3275	4
61,3244,154,3281	Clay
159,3244,327,3281	Roberson
488,3213,513,3244	8
488,3244,519,3287	7
1736,3232,1761,3263	1
1909,3232,1971,3263	0-0
2138,3232,2169,3269	0
1032,3256,1094,3294	0-0
1205,3263,1267,3300	0-0
1390,3263,1452,3300	0-0
1909,3275,1971,3306	0-0
6,3331,112,3368	North
117,3331,271,3368	Carolina
488,3337,531,3368	11
877,3343,976,3380	1,027
1032,3349,1174,3381	123-587
1205,3349,1328,3386	53-375
1378,3349,1471,3386	7-83
1582,3355,1631,3392	57
1736,3355,1786,3392	80
6,3374,210,3411	Opponents
611,3343,679,3374	591
747,3343,815,3374	436
1909,3362,1990,3392	7-38
488,3380,531,3417	11
2138,3362,2188,3399	11
1205,3392,1328,3430	35-250
1378,3392,1508,3430	12-122
1903,3405,2008,3442	12-20
2138,3411,2188,3442	14
5,3460,92,3504	Key:
97,3461,265,3507	G-games;
270,3464,373,3509	T-solo
378,3465,514,3511	tackles;
518,3468,654,3513	A-assist
659,3470,795,3515	tackles;
799,3472,994,3519	TFL-tackles
999,3475,1048,3519	for
1053,3476,1140,3521	loss;
1145,3478,1313,3524	PBU-pass
1318,3480,1421,3525	break
1426,3482,1502,3527	ups;
1507,3484,1799,3531	QBH-quarterback
1804,3488,1934,3534	hurries;
1939,3490,2113,3536	FR-fumble
2117,3493,2307,3539	recoveries;
2312,3496,2475,3542	FF-forced
2479,3499,2565,3544	fum-
0,3503,89,3547	bles;
94,3505,284,3551	Bk-blocked
289,3509,390,3554	kicks;
394,3512,538,3557	S-safetyJ
679,3807,1124,3856	CAROLIN
1396,3813,1452,3862	F
1458,3813,1508,3862	O
1607,3819,1656,3868	T
1823,3825,1854,3862	L
1879,3825,1916,3862	L
2138,3831,2169,3868	1
2212,3831,2249,3868	3
2287,3831,2317,3868	9
