2510,2653,2547,2690	k
2510,2709,2547,2752	0
2615,2709,2645,2758	..
2651,2709,2720,2758	0-0
2486,2770,2547,2813	24
2560,2764,2750,2813	......9-15..
2510,2832,2547,2862	0
2646,2826,2720,2869	0-0
2646,2887,2720,2924	0-0
2646,2943,2720,2992	0-0
2646,3004,2720,3047	0-0
2652,3060,2720,3096	0-0
2652,3121,2689,3158	0-
2683,3121,2720,3158	-0
2800,2702,2898,2758	...74
2830,2826,2892,2869	32
2830,2887,2892,2930	24
2837,2943,2892,2986	12
2843,3004,2892,3041	12
2861,3060,2892,3103	6
2861,3121,2892,3158	6
2861,3177,2892,3213	6
1643,3238,1673,3275	0
1637,3293,1673,3337	2
1637,3410,1673,3447	0
1815,3238,1846,3275	0
1815,3355,1846,3392	0
1815,3410,1846,3447	0
1815,3472,1846,3509	0
2652,3293,2689,3330	0-
2683,3293,2720,3330	-0
1987,3410,2018,3447	0
1987,3472,2018,3509	0
1987,3527,2018,3564	0
1987,3589,2018,3626	3
2338,3410,2369,3447	0
1427,3589,1495,3632	...О
1464,3644,1495,3681	0
1427,3706,1489,3755	34
1433,3761,1483,3798	27
1637,3644,1673,3681	0
1815,3644,1846,3681	0
1809,3706,1846,3743	2
2166,3527,2197,3564	0
2160,3644,2197,3681	0
2160,3700,2190,3743	2
1957,3706,2018,3743	30
1957,3761,2012,3805	23
2338,3589,2369,3626	0
2338,3644,2369,3681	0
2510,3644,2541,3681	0
2338,3700,2369,3743	0
2369,3724,2480,3743	....
2474,3700,2541,3749	26
2474,3761,2541,3805	.23
2646,3410,2720,3460	0-0
2646,3472,2720,3509	0-0
2646,3527,2720,3564	0-0
2652,3583,2720,3626	1-2
2640,3644,2720,3688	0-0
2584,3700,2714,3749	10-17
2640,3761,2714,3798	7-9
2861,3644,2892,3681	0
2800,3700,2892,3749	264
2806,3761,2892,3798	210
473,3940,553,3977	106
1981,3934,2100,3977	1996
2105,3934,2385,3977	CAROLINA
2391,3934,2676,3977	FOOTBALL
2681,3934,2859,3977	MEDIA
2864,3934,3027,3977	GUIDE
